model,horizon,seed,epochs,best_epoch,device,mse,mae,checkpoint,figure,loss_curve
conv-transformer,90,55,13,3,cuda,169945.53125,317.4147644042969,/home/icc/exam/exam/outputs/models/conv-transformer_h90_seed55.pt,/home/icc/exam/exam/outputs/figures/conv-transformer_h90_seed55.png,/home/icc/exam/exam/outputs/figures/loss_conv-transformer_h90_seed55.png
conv-transformer,365,11,12,2,cuda,161043.53125,300.4378967285156,/home/icc/exam/exam/outputs/models/conv-transformer_h365_seed11.pt,/home/icc/exam/exam/outputs/figures/conv-transformer_h365_seed11.png,/home/icc/exam/exam/outputs/figures/loss_conv-transformer_h365_seed11.png
conv-transformer,365,22,12,2,cuda,163261.71875,303.1603698730469,/home/icc/exam/exam/outputs/models/conv-transformer_h365_seed22.pt,/home/icc/exam/exam/outputs/figures/conv-transformer_h365_seed22.png,/home/icc/exam/exam/outputs/figures/loss_conv-transformer_h365_seed22.png
conv-transformer,365,33,14,4,cuda,165236.875,306.6795349121094,/home/icc/exam/exam/outputs/models/conv-transformer_h365_seed33.pt,/home/icc/exam/exam/outputs/figures/conv-transformer_h365_seed33.png,/home/icc/exam/exam/outputs/figures/loss_conv-transformer_h365_seed33.png
conv-transformer,365,44,14,4,cuda,158166.8125,301.8483581542969,/home/icc/exam/exam/outputs/models/conv-transformer_h365_seed44.pt,/home/icc/exam/exam/outputs/figures/conv-transformer_h365_seed44.png,/home/icc/exam/exam/outputs/figures/loss_conv-transformer_h365_seed44.png
conv-transformer,365,55,14,4,cuda,156516.484375,297.8724365234375,/home/icc/exam/exam/outputs/models/conv-transformer_h365_seed55.pt,/home/icc/exam/exam/outputs/figures/conv-transformer_h365_seed55.png,/home/icc/exam/exam/outputs/figures/loss_conv-transformer_h365_seed55.png
spectral-patch-v2-norevin,90,11,17,2,cuda,174381.390625,315.84912109375,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h90_seed11.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h90_seed11.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h90_seed11.png
spectral-patch-v2-norevin,90,22,17,2,cuda,174018.765625,316.1950378417969,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h90_seed22.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h90_seed22.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h90_seed22.png
spectral-patch-v2-norevin,90,33,17,2,cuda,177797.46875,320.0574035644531,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h90_seed33.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h90_seed33.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h90_seed33.png
spectral-patch-v2-norevin,90,44,17,2,cuda,177730.3125,322.1429748535156,/home/icc/exam/exam/outputs/models/spectral-patch-v2-norevin_h90_seed44.pt,/home/icc/exam/exam/outputs/figures/spectral-patch-v2-norevin_h90_seed44.png,/home/icc/exam/exam/outputs/figures/loss_spectral-patch-v2-norevin_h90_seed44.png
